REFCODE;Formula;SymMol;Cryst_spgr;Spgr_N;C_x;C_y;C_z;Mol_R;Mol_V;Cell_a
QITDIG;C4 N1;-4 3 m;F 2 3;196;0.25;0.25;0.25;1.47173;13.3523;21.278
QITDIG;Cl1 O4;3 m;F 2 3;196;0.37636;0.37636;0.37636;1.28872;8.96511;21.278
QITFAA;C60 H96 N12 Ni6 O24 Sm1;2 3;F 2 3;196;0;0;0;7.69983;1912.14;21.389
QITFAA;C4 N1;-4 3 m;F 2 3;196;0.5;0.5;0.5;1.51522;14.5713;21.389
QITFAA;N1 O3;-6 m 2;F 2 3;196;0.392;0.392;0.392;1.17573;6.80767;21.389
JUMHUU;C48 Cl4 Cu1 H96 O24 Tl4;2 3;F 2 3;196;0.75;0.25;0.75;6.7417;1283.47;20.728
JUMHUU;Cl4 Tl1;-4 3 m;F 2 3;196;0.75;0.75;0.75;2.39825;57.7776;20.728
JUMHUU;Cl4 Tl1;-4 3 m;F 2 3;196;1;1;1;2.38748;57.0026;20.728
RALXUY;C60 Gd1 H96 N12 Ni6 O24;2 3;F 2 3;196;0;0;0;7.64576;1872.14;21.275
RALXUY;C4 N1;-4 3 m;F 2 3;196;0.25;0.25;0.25;1.65331;18.9296;21.275
RALXUY;Cl1 O4;3 m;F 2 3;196;0.37728;0.37728;0.37728;1.37916;10.988;21.275
RUHJEK;Ba1 C60 Co6 H96 N12 O24;2 3;F 2 3;196;0;0;0;7.66269;1884.6;21.3922
RUHJEK;Cl1 O4;-4 3 m;F 2 3;196;-0.25;-0.25;-0.25;1.42652;12.1592;21.3922
RUHJEK;Cl1 O4;3 m;F 2 3;196;0.38028;0.38028;0.38028;1.57166;16.2612;21.3922
RALYAF;C60 H96 La1 N12 Ni6 O24;2 3;F 2 3;196;0;0;0;7.59881;1837.86;21.305
RALYAF;C4 N1;-4 3 m;F 2 3;196;0.25;0.25;0.25;1.36535;10.6612;21.305
RALYAF;Cl1 O4;3 m;F 2 3;196;0.37864;0.37864;0.37864;1.34483;10.1878;21.305
TIRTEV;Au4 C72 Co2 H84 N4 O8 P4 S4;2;F 2 3;196;0.25;0.497168;0.25;8.45182;2528.87;38.1102
RUHJIO;C60 Co6 H96 La1 N12 O24;2 3;F 2 3;196;0;0;0;7.65818;1881.28;21.3387
RUHJIO;Cl1 O4;-4 3 m;F 2 3;196;-0.25;-0.25;-0.25;1.41925;11.9744;21.3387
RUHJIO;Cl1 O4;3 m;F 2 3;196;0.37818;0.37818;0.37818;1.4443;12.6197;21.3387
RUHJOU;Ba1 C60 Co6 H96 N12 O24;2 3;F 2 3;196;0;0;0;7.7726;1966.86;21.6884
RUHJOU;C4 N1;-4 3 m;F 2 3;196;0.5;0.5;0.5;1.49135;13.8935;21.6884
RUHJOU;C4 N1;-4 3 m;F 2 3;196;0.25;0.25;0.25;1.37489;10.8864;21.6884
RUHJOU;Cl1 O4;3 m;F 2 3;196;0.383;0.383;0.383;1.25338;8.2476;21.6884
RUHJUA;C60 Co6 H96 La1 N12 O24;2 3;F 2 3;196;0;0;0;7.69312;1907.14;21.588
RUHJUA;C4 N1;-4 3 m;F 2 3;196;0.25;0.25;0.25;1.40966;11.7333;21.588
RUHJUA;Cl1 O4;-4 3 m;F 2 3;196;0.37508;0.37508;0.37508;1.4478;12.7116;21.588
